source_row_number,field_name,issue_code,raw_value,detail
725,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
725,School,school_missing,,School is blank in the source export
728,Application Type,application_type_inferred_from_level,,Derived from level 'Professional'
728,School,school_missing,,School is blank in the source export
729,Application Type,application_type_inferred_from_level,,Derived from level 'Undergraduate'
729,School,school_missing,,School is blank in the source export
729,School,school_missing_undergraduate,,School is blank for an undergraduate application
731,Application Type,application_type_inferred_from_level,,Derived from level 'Undergraduate'
731,School,school_missing,,School is blank in the source export
731,School,school_missing_undergraduate,,School is blank for an undergraduate application
733,Decision,decision_missing_with_bin_status,,Decision is blank while Bin contains 'incomplete'
734,Decision,decision_missing_with_bin_status,,Decision is blank while Bin contains 'incomplete'
738,Loans,large_monetary_value_review,"Reason: house rennovation
Source: Bnque De L habitat
Mortgaged Asset: house
Start Date: 2016-05-18
End Date: 2033-05-18
Total Amount: 140,000,000 l.l.
Monthly Payment: 910,000 l.l.
Remaining Balance: 65,330,000 l.l.
Remaining Years: 9",loans_total_amount=140000000.0; currency_signal=lbp; currency_guess=lbp
740,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
740,School,school_missing,,School is blank in the source export
741,Application Type,application_type_inferred_from_level,,Derived from level 'Undergraduate'
741,School,school_missing,,School is blank in the source export
741,School,school_missing_undergraduate,,School is blank for an undergraduate application
743,Application Type,application_type_inferred_from_level,,Derived from level 'Professional'
743,School,school_missing,,School is blank in the source export
748,Loans,mixed_currency_signal,"Reason: To pay for school
Source: Kard Al Hasan
Mortgaged Asset: Gold
Start Date: 2024-06-09
End Date: 2027-05-09
Total Amount: 4400$
Monthly Payment: 122$
Remaining Balance: 4034$
Remaining Years: 3

Reason: To pay for school
Source: Kard Al Hasan
Mortgaged Asset: Gold
Start Date: 2024-03-12
End Date: 2026-02-12
Total Amount: 45720000L.L
Monthly Payment: 1905000L.L
Remaining Balance: 30600000L.L
Remaining Years: 2

Reason: To complete the remaining payment for the house
Source: بنك الاعتماد
Mortgaged Asset: House itself
Start Date: 2014-11-30
End Date: 2037-11-30
Total Amount: 67000000L.L
Monthly Payment: 500000L.L
Remaining Balance: 30000000L.L
Remaining Years: 13",Contains both USD and LBP/L.L. markers
750,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
750,School,school_missing,,School is blank in the source export
762,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
762,School,school_missing,,School is blank in the source export
765,Application Type,application_type_inferred_from_level,,Derived from level 'Undergraduate'
