raw_source_row_number,raw_source_sheet_name,parsed_school,parsed_level,parsed_nationality,parsed_applicant_citizenship,actual_target,predicted_probability_awarded,confidence_score,selected_threshold,approve_threshold,reject_threshold,fairness_risk_flag,fairness_risk_reason,recommended_action,action_reason,case_explanation
2042,Export,"Official Secondary School, Sarafand",Undergraduate,Lebanon,Lebanon,1,0.8760094046592712,0.8760094046592712,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
1573,Export,,Graduate,Lebanon,Lebanon,1,0.6487811803817749,0.6487811803817749,0.105,0.8,0.05,True,parsed_level=Graduate,review,Manual review required because subgroup fairness safeguards were triggered.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
2334,Export,"Cadmous College, Tyre",Undergraduate,Lebanon,Lebanon United States,0,0.35128456354141235,0.6487154364585876,0.105,0.8,0.05,False,,review,Manual review required because model confidence is not high enough for auto-routing.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
2112,Export,,Professional,Lebanon,Lebanon,1,0.6663179397583008,0.6663179397583008,0.105,0.8,0.05,False,,review,Manual review required because model confidence is not high enough for auto-routing.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
916,Export,"International College (IC), Beirut",Undergraduate,Lebanon,Lebanon Malaysia,1,0.6788201332092285,0.6788201332092285,0.105,0.8,0.05,False,,review,Manual review required because model confidence is not high enough for auto-routing.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
122,Export,,Undergraduate,United Kingdom,United Kingdom Lebanon,0,0.22900693118572235,0.7709930688142776,0.105,0.8,0.05,False,,review,Manual review required because model confidence is not high enough for auto-routing.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
825,Export,,Graduate,Lebanon,Lebanon,0,0.8255026936531067,0.8255026936531067,0.105,0.8,0.05,True,parsed_level=Graduate,review,Manual review required because subgroup fairness safeguards were triggered.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
2554,Export,"Al Qualaa Secondary School, Saida",Undergraduate,Lebanon,Lebanon,0,0.2557232975959778,0.7442767024040222,0.105,0.8,0.05,False,,review,Manual review required because model confidence is not high enough for auto-routing.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
2339,Export,,Graduate,Palestine,Palestine,1,0.8795201182365417,0.8795201182365417,0.105,0.8,0.05,True,parsed_level=Graduate,review,Manual review required because subgroup fairness safeguards were triggered.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
892,Export,"Houssameddine Hariri High School, Saida",Undergraduate,Lebanon,Lebanon,0,0.2834727466106415,0.7165272533893585,0.105,0.8,0.05,False,,review,Manual review required because model confidence is not high enough for auto-routing.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
90,Export,"Al Bayader High School Aramoun, Aramoun",Undergraduate,Lebanon,Lebanon,0,0.11015636473894119,0.8898436352610588,0.105,0.8,0.05,False,,review,Manual review required because the case is too close to the policy threshold.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
1560,Export,"Ahliah School, Wadi Abou Jamil",Undergraduate,Lebanon,Lebanon,1,0.336788535118103,0.663211464881897,0.105,0.8,0.05,False,,review,Manual review required because model confidence is not high enough for auto-routing.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
1128,Export,"College Protestant Francais Montana, Montana Maten",Undergraduate,Lebanon,Lebanon,1,0.9400599598884583,0.9400599598884583,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
1865,Export,"College Mariste Champville, Antelias",Undergraduate,Lebanon,Lebanon,1,0.7756795883178711,0.7756795883178711,0.105,0.8,0.05,False,,review,Manual review required because model confidence is not high enough for auto-routing.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
850,Export,"College Melkart, Louaize",Undergraduate,Lebanon,Lebanon,1,0.8659067153930664,0.8659067153930664,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
1690,Export,"Ecole Des Soeurs Du Rosaire, Sin El Fil",Undergraduate,Lebanon,Lebanon,1,0.8581030964851379,0.8581030964851379,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
1653,Export,,Graduate,Lebanon,Lebanon,1,0.8688311576843262,0.8688311576843262,0.105,0.8,0.05,True,parsed_level=Graduate,review,Manual review required because subgroup fairness safeguards were triggered.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
1622,Export,,Professional,Lebanon,Lebanon,1,0.9484645128250122,0.9484645128250122,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
526,Export,"Secondary Evangelical School Zahle, Zahle",Undergraduate,Lebanon,Lebanon,1,0.868761420249939,0.868761420249939,0.105,0.8,0.05,False,,approve,High-confidence approve recommendation under the calibrated probability policy.,Model-native approximation using global importance fallback: parsed_father_gross_income (0.042); parsed_father_income_document (0.039); parsed_father_annual_income_from_work_status (0.030)
